Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,,1921282,,,,,252743522253.55817,1683474.1353473312,-43329383.65608131,197183375.31762227
2022-07-30T00:00:00Z,1347,1921282,306,301,378,13048145.047997944,252743522253.55817,425937.34,-909076.6106651007,238829284.83835626
2022-07-29T00:00:00Z,1667,1919935,314,319,408,41423782.17633925,252730474108.51016,3098511.526823156,-354683.3169079885,239312424.10902137
2022-07-28T00:00:00Z,1691,1918268,354,358,448,38806876.980567396,252689050326.33383,5136253.396416246,-3298984.225514827,236568595.8991062
2022-07-27T00:00:00Z,1489,1916577,335,364,446,124774361.19399607,252650243449.35327,46000085.00088,-256240.19978119363,234731326.7282048
2022-07-26T00:00:00Z,1708,1915088,431,378,514,146087934.49916196,252525469088.15927,3083071.0801374735,-19045172.106859617,188987481.92710596
2022-07-25T00:00:00Z,1607,1913380,438,420,524,172625949.96778426,252379381153.6601,8997401.221440617,-56375220.30909332,204949582.9538281
2022-07-24T00:00:00Z,945,1911773,270,264,353,5054228.334803896,252206755203.69232,440,-687004.6492471563,252327402.0414808
2022-07-23T00:00:00Z,1080,1910828,265,259,353,17870314.33464912,252201700975.3575,2100910.786859511,-5387.1934243174655,253013966.69072798
2022-07-22T00:00:00Z,1561,1909748,343,327,429,393582585.4008405,252183830661.02286,1977793.970528136,-5169748.143178065,250918443.09729278
2022-07-21T00:00:00Z,1694,1908187,365,354,448,66097477.3247533,251790248075.622,6223778.337547133,-12936185.46037817,254110397.2699427
2022-07-20T00:00:00Z,2079,1906493,359,366,472,14458492.202232113,251724150598.29724,72167.66694054358,-2530.76840195,260822804.39277375
2022-07-19T00:00:00Z,2429,1904414,412,416,529,91435926.62135434,251709692106.095,5089997.361497513,-76270.79340766823,260753167.49423516
