Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,,5223449,,,,,48493891512.37313,21735.722818507482,-57572.02290344065,344051346.81950694
2022-07-30T00:00:00Z,4599,5223449,781,936,1032,2097321.73045346,48493891512.37313,29965.043211699995,-131646.74025333207,344087183.1195919
2022-07-29T00:00:00Z,3991,5218850,713,827,925,2386274.6906386768,48491794190.64268,36198.930520445836,-161054.43646169707,344188864.8166335
2022-07-28T00:00:00Z,3954,5214859,691,812,927,3284721.2938151183,48489407915.95204,146554.61800953292,-151224.87346047588,344313720.3225748
2022-07-27T00:00:00Z,3603,5210905,642,752,859,2476185.0846507857,48486123194.658226,101902.66845881683,-174996.8862434419,344318390.57802576
2022-07-26T00:00:00Z,3594,5207302,689,765,898,5035772.548447705,48483647009.57358,531846.9838404063,-673564.1771499392,344391484.7958104
2022-07-25T00:00:00Z,3990,5203708,733,801,943,11164194.845254246,48478611237.02513,50622.90037100708,-5177401.7202547835,344533201.98911995
2022-07-24T00:00:00Z,4057,5199718,718,804,925,4290730.610520606,48467447042.17988,14219.654520239928,-286032.7574458544,349659980.8090037
2022-07-23T00:00:00Z,3033,5195661,612,718,828,3133046.1272204383,48463156311.56936,205785.30885143369,-271506.5470847605,349931793.9119293
2022-07-22T00:00:00Z,3353,5192628,640,727,867,4180901.952771273,48460023265.44214,163802.55851989714,-724405.9892472484,349997515.15016264
2022-07-21T00:00:00Z,3360,5189275,621,740,860,4192053.8944469267,48455842363.489365,308517.2306570447,-147357.41701707523,350558118.58089
2022-07-20T00:00:00Z,4683,5185915,750,828,977,4670777.526493662,48451650309.59492,215697.56204868067,-361963.3807491358,350396958.76725
2022-07-19T00:00:00Z,5367,5181232,805,997,1112,4628509.565873195,48446979532.06842,85142.54187923501,-297508.94602944964,350543224.58595043
2022-07-18T00:00:00Z,5227,5175865,796,970,1094,5141819.711830848,48442351022.50255,234675.31654574975,-145658.3497501392,350755590.9901006
2022-07-17T00:00:00Z,4000,5170638,707,790,966,3886681.1617830703,48437209202.79072,354279.5965009328,-78051.18110014671,350666574.023305
2022-07-16T00:00:00Z,4207,5166638,682,823,943,5610338.374469325,48433322521.62894,230661.4869805304,-95180.09230686499,350390345.6079042
2022-07-15T00:00:00Z,4000,5162431,710,825,938,4141366.69744536,48427712183.25447,159332.931878951,-348605.30711004,350254864.21323055
2022-07-14T00:00:00Z,4173,5158431,687,816,953,4392130.054338905,48423570816.55702,97466.0296447412,-196430.06254623167,350444136.58846164
2022-07-13T00:00:00Z,6106,5154258,811,940,1060,10048054.13397274,48419178686.502686,270637.92007625103,-169483.35090735997,350543100.6213631
2022-07-12T00:00:00Z,5268,5148152,894,1002,1154,6445627.498376127,48409130632.36871,63235.50032801053,-286725.7647820247,350441946.05219424
2022-07-11T00:00:00Z,4926,5142884,813,948,1076,7266345.041280567,48402685004.87034,1180943.8905101663,-722949.5537717281,350665436.31664824
2022-07-10T00:00:00Z,4064,5137958,777,889,1018,3714836.384959312,48395418659.829056,17182.67322668864,-176457.53614655588,350207441.9799098
2022-07-09T00:00:00Z,4411,5133894,739,832,963,4491593.0760133155,48391703823.4441,105000.74433601691,-304047.8174195046,350366716.84282964
2022-07-08T00:00:00Z,6094,5129483,977,1075,1225,5950940.84372303,48387212230.36809,29692.190632992028,-275136.40477668063,350565763.9159131
2022-07-07T00:00:00Z,4849,5123389,818,969,1115,4185225.0372992563,48381261289.52437,10560.983050013312,-237265.48865549106,350811208.1300568
2022-07-06T00:00:00Z,5646,5118540,890,1008,1136,5274451.109035064,48377076064.48707,18061.23491620062,-432574.2353026072,351037912.63566226
2022-07-05T00:00:00Z,4639,5112894,806,921,1052,4344779.9195538405,48371801613.37804,243556.5625320038,-119324.89308972785,351452425.6360487
2022-07-04T00:00:00Z,5373,5108255,864,1002,1119,4064936.0897293496,48367456833.45848,157777.1458183688,-265119.9393702025,351328193.9666064
