Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,,23376,,,,,139469928.14749363,0,0,3808978.8899999987
2022-07-30T00:00:00Z,22,23376,5,4,6,7237.612702856623,139469928.14749363,0,0,3808978.8899999987
2022-07-29T00:00:00Z,32,23354,3,4,4,8077.158145492315,139462690.53479078,0,0,3808978.8899999987
2022-07-28T00:00:00Z,25,23322,6,7,11,11355.803016441329,139454613.3766453,0,0,3808978.8899999987
2022-07-27T00:00:00Z,26,23297,8,6,11,67571.24748299069,139443257.57362884,0,0,3808978.8899999987
2022-07-26T00:00:00Z,19,23271,8,8,9,4372.7812272058645,139375686.32614586,0,0,3808978.8899999987
2022-07-25T00:00:00Z,39,23252,4,4,7,13807.288965998263,139371313.54491866,0,0,3808978.8899999987
2022-07-24T00:00:00Z,8,23213,7,8,8,7852.586084300617,139357506.25595266,0,-1150,3808978.8899999987
2022-07-23T00:00:00Z,13,23205,6,6,9,104158.95633698358,139349653.66986835,0,0,3810128.8899999987
2022-07-22T00:00:00Z,14,23192,3,3,3,9105.453211692617,139245494.71353137,0,0,3810128.8899999987
2022-07-21T00:00:00Z,40,23178,15,6,22,43748.604872766846,139236389.26031968,0,0,3810128.8899999987
2022-07-20T00:00:00Z,43,23138,6,7,9,68358.31359983997,139192640.65544692,0,-13851.23,3810128.8899999987
2022-07-19T00:00:00Z,46,23095,6,8,11,14281.48964637402,139124282.34184706,0,0,3823980.1199999987
2022-07-18T00:00:00Z,59,23049,7,10,14,20958.765267225695,139110000.8522007,0,0,3823980.1199999987
2022-07-17T00:00:00Z,30,22990,10,10,11,6328.6095744876675,139089042.08693346,0,0,3823980.1199999987
2022-07-16T00:00:00Z,32,22960,7,8,9,67765.50087401738,139082713.47735897,0,-15000,3823980.1199999987
2022-07-15T00:00:00Z,15,22928,4,4,5,4544.839425101392,139014947.97648495,1030.8,0,3838980.1199999987
2022-07-14T00:00:00Z,43,22913,8,8,9,9014.08169915669,139010403.13705987,0,0,3837949.319999999
2022-07-13T00:00:00Z,38,22870,5,5,5,10320.343661536932,139001389.0553607,0,0,3837949.319999999
2022-07-12T00:00:00Z,8,22832,8,7,10,103482.06663867127,138991068.71169916,0,0,3837949.319999999
2022-07-11T00:00:00Z,22,22824,10,11,14,91618.89253649836,138887586.64506048,0,0,3837949.319999999
2022-07-10T00:00:00Z,8,22802,2,2,6,1879.9135859391395,138795967.752524,0,0,3837949.319999999
2022-07-09T00:00:00Z,1,22794,2,2,4,24673.34,138794087.83893806,0,0,3837949.319999999
2022-07-08T00:00:00Z,18,22793,4,4,5,17209.16301091459,138769414.49893805,12336.67,0,3837949.319999999
2022-07-07T00:00:00Z,22,22775,9,9,12,4840.606482333321,138752205.33592713,0,0,3825612.649999999
2022-07-06T00:00:00Z,31,22753,9,8,11,6238.881098890706,138747364.7294448,0,0,3825612.649999999
2022-07-05T00:00:00Z,36,22722,8,8,16,10406.125217227393,138741125.8483459,0,0,3825612.649999999
2022-07-04T00:00:00Z,22,22686,9,11,11,28259.56568584948,138730719.72312868,0,-5576,3825612.649999999
2022-07-03T00:00:00Z,16,22664,6,6,6,20317.396500620034,138702460.15744284,0,0,3831188.649999999
2022-07-02T00:00:00Z,11,22648,4,5,6,104176.48697829884,138682142.76094222,0,0,3831188.649999999
2022-07-01T00:00:00Z,53,22637,9,12,16,74279.96813115162,138577966.27396393,0,-10000,3831188.649999999
2022-06-30T00:00:00Z,43,22584,5,5,6,10733.304621637128,138503686.30583277,0,0,3841188.649999999
2022-06-29T00:00:00Z,24,22541,3,3,3,12964.407258782368,138492953.00121114,0,0,3841188.649999999
2022-06-28T00:00:00Z,43,22517,8,8,10,11061.123345425905,138479988.59395236,0,0,3841188.649999999
2022-06-27T00:00:00Z,24,22474,3,3,3,6772.174963603759,138468927.47060692,0,0,3841188.649999999
2022-06-26T00:00:00Z,23,22450,9,11,14,6602.605905424684,138462155.29564333,0,0,3841188.649999999
2022-06-25T00:00:00Z,22,22427,11,13,18,6455.656585292888,138455552.68973792,0,0,3841188.649999999
2022-06-24T00:00:00Z,41,22405,8,10,12,17020.82973454444,138449097.0331526,0,0,3841188.649999999
2022-06-23T00:00:00Z,8,22364,6,10,12,12334.877864128479,138432076.20341808,0,0,3841188.649999999
2022-06-22T00:00:00Z,11,22356,3,3,3,2714.4023070949447,138419741.32555395,0,0,3841188.649999999
2022-06-21T00:00:00Z,24,22345,15,16,20,4040.1864406053955,138417026.92324686,0,0,3841188.649999999
2022-06-20T00:00:00Z,18,22321,8,9,10,14782.543613756512,138412986.73680624,0,-2230,3841188.649999999
2022-06-19T00:00:00Z,7,22303,8,7,11,716.8252280364836,138398204.19319248,0,0,3843418.649999999
2022-06-18T00:00:00Z,2,22296,3,3,5,113.2842732615965,138397487.36796445,0,0,3843418.649999999
2022-06-17T00:00:00Z,12,22294,6,7,8,59096.75686129688,138397374.08369118,0,-28080,3843418.649999999
2022-06-16T00:00:00Z,35,22282,5,6,9,9531.15475062296,138338277.32682988,0,0,3871498.649999999
2022-06-15T00:00:00Z,69,22247,8,10,11,127895.8216141426,138328746.17207927,0,0,3871498.649999999
2022-06-14T00:00:00Z,75,22178,10,10,13,38817.75677287297,138200850.35046512,0,0,3871498.649999999
2022-06-13T00:00:00Z,141,22103,7,6,9,46193.53837199108,138162032.59369224,0,0,3871498.649999999
2022-06-12T00:00:00Z,69,21962,6,5,8,17412.015767497967,138115839.05532026,0,0,3871498.649999999
2022-06-11T00:00:00Z,29,21893,6,7,7,49127.35425902515,138098427.03955278,0,-10000,3871498.649999999
2022-06-10T00:00:00Z,23,21864,8,8,9,9222.333523758343,138049299.68529376,0,0,3881498.649999999
2022-06-09T00:00:00Z,8,21841,3,3,3,2605.739509491484,138040077.35177,0,0,3881498.649999999
2022-06-08T00:00:00Z,15,21833,9,9,12,5378.520031762304,138037471.61226052,0,0,3881498.649999999
2022-06-07T00:00:00Z,62,21818,12,11,16,50500.79497022964,138032093.09222877,0,-17130.16,3881498.649999999
2022-06-06T00:00:00Z,55,21756,16,17,20,105630.59298810392,137981592.29725853,0,-9328.24,3898628.809999999
2022-06-05T00:00:00Z,25,21701,12,12,13,5285.056529169518,137875961.70427042,0,0,3907957.0499999993
2022-06-04T00:00:00Z,29,21676,8,7,10,29176.709275748457,137870676.64774126,0,0,3907957.0499999993
2022-06-03T00:00:00Z,26,21647,8,10,10,5729.549691693737,137841499.9384655,0,0,3907957.0499999993
2022-06-02T00:00:00Z,40,21621,12,14,16,148830.71067255837,137835770.3887738,0,-34650,3907957.0499999993
2022-06-01T00:00:00Z,44,21581,7,7,9,12606.58815230628,137686939.67810124,0,0,3942607.0499999993
2022-05-31T00:00:00Z,57,21537,7,9,9,17452.13281109076,137674333.08994892,0,0,3942607.0499999993
2022-05-30T00:00:00Z,47,21480,4,5,5,14598.625248616521,137656880.95713782,0,0,3942607.0499999993
2022-05-29T00:00:00Z,48,21433,7,8,9,16187.280221175202,137642282.3318892,0,0,3942607.0499999993
2022-05-28T00:00:00Z,56,21385,8,8,10,16688.735730043318,137626095.05166805,0,0,3942607.0499999993
2022-05-27T00:00:00Z,108,21329,7,6,9,30933.61533990396,137609406.315938,0,0,3942607.0499999993
2022-05-26T00:00:00Z,80,21221,8,7,10,24364.48560247416,137578472.7005981,0,0,3942607.0499999993
2022-05-25T00:00:00Z,44,21141,15,14,17,521357.4751198259,137554108.21499562,0,-151924.66,3942607.0499999993
2022-05-24T00:00:00Z,30,21097,12,11,14,171240.05258229433,137032750.7398758,0,0,4094531.7099999995
2022-05-23T00:00:00Z,46,21067,13,13,17,80755.1226863359,136861510.6872935,0,-29614.999999999996,4094531.7099999995
2022-05-22T00:00:00Z,37,21021,11,11,16,12679.755694278077,136780755.56460717,0,0,4124146.7099999995
2022-05-21T00:00:00Z,24,20984,6,7,7,38243.23308036908,136768075.8089129,0,-7641.27,4124146.7099999995
2022-05-20T00:00:00Z,80,20960,13,16,19,27742.988749235574,136729832.57583255,0,-1200,4131787.9799999995
2022-05-19T00:00:00Z,90,20880,13,12,17,30326.863773168352,136702089.5870833,0,0,4132987.9799999995
2022-05-18T00:00:00Z,55,20790,10,12,19,24676.757705174354,136671762.72331014,0,-4393.05,4132987.9799999995
2022-05-17T00:00:00Z,65,20735,14,16,21,53209.139683110705,136647085.96560496,0,0,4137381.0299999993
2022-05-16T00:00:00Z,77,20670,8,8,11,24455.388324695956,136593876.82592186,0,0,4137381.0299999993
2022-05-15T00:00:00Z,61,20593,8,7,11,21233.348614351056,136569421.43759716,0,0,4137381.0299999993
2022-05-14T00:00:00Z,84,20532,6,9,10,28478.022839741905,136548188.0889828,0,0,4137381.0299999993
2022-05-13T00:00:00Z,116,20448,31,30,43,920880.3075650478,136519710.06614304,0,-100216.84,4137381.0299999993
2022-05-12T00:00:00Z,130,20332,23,33,38,349867.7591480677,135598829.758578,0,0,4237597.869999999
2022-05-11T00:00:00Z,115,20202,18,18,25,1358057.8020946423,135248961.99942994,0,-10780.390000000001,4237597.869999999
2022-05-10T00:00:00Z,56,20087,16,16,20,132070.7131195703,133890904.19733529,0,0,4248378.259999999
2022-05-09T00:00:00Z,38,20031,14,16,23,34507.40981260357,133758833.48421572,0,0,4248378.259999999
2022-05-08T00:00:00Z,30,19993,19,19,26,82434.51382494028,133724326.07440312,0,0,4248378.259999999
2022-05-07T00:00:00Z,17,19963,12,12,15,12365.776998439613,133641891.56057818,0,0,4248378.259999999
2022-05-06T00:00:00Z,15,19946,13,12,17,8857.449900087144,133629525.78357974,0,0,4248378.259999999
2022-05-05T00:00:00Z,23,19931,10,10,18,41344.56923989377,133620668.33367965,0,-6310.91,4248378.259999999
2022-05-04T00:00:00Z,15,19908,12,15,20,19512.237431540594,133579323.76443975,0,0,4254689.169999999
2022-05-03T00:00:00Z,15,19893,12,14,19,14722.557261532824,133559811.5270082,0,-1030.8,4254689.169999999
2022-05-02T00:00:00Z,22,19878,10,12,17,36136.15725035922,133545088.96974668,0,0,4255719.969999999
2022-05-01T00:00:00Z,21,19856,11,10,14,237130.57663943327,133508952.81249632,0,0,4255719.969999999
2022-04-30T00:00:00Z,21,19835,13,14,21,14181.383591883408,133271822.23585689,0,0,4255719.969999999
2022-04-29T00:00:00Z,11,19814,6,5,8,7199.401304719951,133257640.852265,0,0,4255719.969999999
2022-04-28T00:00:00Z,8,19803,7,9,16,2385.1441061307487,133250441.45096028,0,0,4255719.969999999
2022-04-27T00:00:00Z,43,19795,30,33,37,95156.84596135175,133248056.30685414,0,0,4255719.969999999
