Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,,7184373,,,,,255389478691.12466,489336.60094400006,-2020116.9411809996,410205395.10315585
2022-07-30T00:00:00Z,12711,7184373,2204,2395,2947,42254441.704309,255389478691.12466,5114102.071911999,-3065903.109781,411736175.4433929
2022-07-29T00:00:00Z,15333,7171662,2267,2676,3175,53343515.241929,255347224249.42035,3273645.3093189998,-2512859.123723,409687976.48126185
2022-07-28T00:00:00Z,15251,7156329,2364,2601,3174,45989694.764859,255293880734.1784,1003089.853258,-4060700.2506199996,408927190.29566586
2022-07-27T00:00:00Z,13855,7141078,2372,2658,3263,49590026.027173,255247891039.41354,3096856.6354960003,-2633583.0076590003,411984800.69302785
2022-07-26T00:00:00Z,13392,7127223,2522,2471,3209,51589112.3561,255198301013.38638,492038.59160399996,-2331798.5430880003,411521527.06519085
2022-07-25T00:00:00Z,13942,7113831,2606,2720,3341,38923097.736853,255146711901.03027,972870.9779629998,-1498223.1158260002,413361287.0166749
2022-07-24T00:00:00Z,13635,7099889,2440,2581,3135,43328605.1244,255107788803.29343,4378609.642426,-1819649.895457,413886639.15453786
2022-07-23T00:00:00Z,10649,7086254,2056,2154,2716,25199767.485384,255064460198.16904,3176593.5849790005,-661207.231258,411327679.4075689
2022-07-22T00:00:00Z,12532,7075605,2317,2461,3082,48605649.298606,255039260430.68365,2237310.426979,-2498530.9110699994,408812293.05384785
2022-07-21T00:00:00Z,14741,7063073,2326,2517,3194,75323845.690587,254990654781.38504,2119332.9806449995,-3294766.001971,409073513.53793883
2022-07-20T00:00:00Z,19486,7048332,2640,2650,3439,76286014.969823,254915330935.69446,1805706.089388,-2384465.9335789997,410248946.55926484
2022-07-19T00:00:00Z,18381,7028846,2291,2474,3080,78920365.085978,254839044920.72464,4076567.6952879997,-4030855.7045879997,410827706.40345585
2022-07-18T00:00:00Z,16711,7010465,2439,2730,3369,53764978.68968,254760124555.63867,3303007.133411,-2414534.395260999,410781994.41275585
2022-07-17T00:00:00Z,10953,6993754,1901,2325,2864,29965261.429839,254706359576.949,1432963.0301829996,-1081733.7460319996,409893521.67460585
2022-07-16T00:00:00Z,10953,6982801,1928,2164,2657,49601778.525513,254676394315.51917,1432917.2508320005,-2149164.6275959997,409542292.3904548
2022-07-15T00:00:00Z,12472,6971848,2023,2212,2737,42756049.875812,254626792536.99365,807850.311335,-1667785.4315580002,410258539.7672188
2022-07-14T00:00:00Z,12696,6959376,1962,2307,2813,44384426.702782,254584036487.11783,992513.533463,-4154982.3536469997,411118474.8874418
2022-07-13T00:00:00Z,14126,6946680,2096,2218,2817,42878164.900958,254539652060.41504,1312509.0337270007,-2374692.025121001,414280943.7076258
2022-07-12T00:00:00Z,11095,6932554,2105,2228,2892,44702684.865234,254496773895.51407,640240.6473079999,-1482383.4566399998,415343126.6990198
2022-07-11T00:00:00Z,10627,6921459,2155,2248,2985,35535095.311954,254452071210.64883,2428727.6157309995,-1118336.3017959998,416185269.5083518
2022-07-10T00:00:00Z,9059,6910832,2094,2209,2814,23326923.768711,254416536115.33688,251304.21650200002,-678872.640279,414874878.1944168
2022-07-09T00:00:00Z,8107,6901773,1862,1897,2493,30978467.666743,254393209191.56818,4117569.921944,-2758095.23111,415302446.6181938
2022-07-08T00:00:00Z,13288,6893666,2404,2504,3143,98480150.36436,254362230723.90143,5443655.905890001,-6280486.5114480015,413942971.9273598
2022-07-07T00:00:00Z,14157,6880378,3605,2911,4515,50242855.528513,254263750573.53708,2318477.145541999,-3877650.278984,414779802.5329178
2022-07-06T00:00:00Z,14273,6866221,2419,2485,3266,89873267.930599,254213507718.00858,3011462.338977001,-8038745.643957001,416338975.6663598
2022-07-05T00:00:00Z,12454,6851948,2166,10172,10747,92430732.100274,254123634450.07797,20093960.143178996,-2598541.859277,421366258.97133976
2022-07-04T00:00:00Z,11504,6839494,2276,2403,3055,30284043.468883,254031203717.9777,185505.20879499998,-1521726.2477829999,403870840.6874378
2022-07-03T00:00:00Z,14977,6827990,3152,3191,3937,68424132.048215,254000919674.50882,2496637.2394670006,-4842833.829708001,405207061.72642577
2022-07-02T00:00:00Z,13866,6813013,3169,2816,3864,51412646.640028,253932495542.4606,5033063.411832999,-6305971.171600999,407553258.3166668
2022-07-01T00:00:00Z,15624,6799147,2502,2742,3385,75665048.991652,253881082895.8206,5615758.683476999,-10804286.455871,408826166.0764348
2022-06-30T00:00:00Z,16844,6783523,2647,2674,3413,93968644.500296,253805417846.82895,7399083.980336,-4765005.795529999,414014693.8488288
2022-06-29T00:00:00Z,14666,6766679,2312,2499,3105,63024735.65015,253711449202.32864,3078469.6180289993,-4756913.3100769995,411380615.6640228
2022-06-28T00:00:00Z,13031,6752013,2132,2630,3178,107433735.680895,253648424466.6785,2836503.8561230004,-13725271.430033999,413059059.3560708
2022-06-27T00:00:00Z,12222,6738982,2306,2504,3112,63001663.670263,253540990730.9976,4195815.613981999,-2723131.464922,423947826.9299818
2022-06-26T00:00:00Z,12419,6726760,2459,2639,3357,50873171.038726,253477989067.32733,2983350.9474240006,-5538922.788759001,422475142.7809218
2022-06-25T00:00:00Z,14607,6714341,2862,3271,4168,51854871.957658,253427115896.2886,414125.56121099996,-1823866.0559210004,425030714.6222568
2022-06-24T00:00:00Z,23772,6699734,4132,4434,5168,86699337.404683,253375261024.33093,4035088.370371998,-5585344.410237,426440455.11696684
2022-06-23T00:00:00Z,21611,6675962,4187,4453,5113,73226433.097271,253288561686.92624,7265961.208565003,-8133133.40877,427990711.15683186
2022-06-22T00:00:00Z,17288,6654351,2406,2657,3267,67890586.448542,253215335253.82898,1257530.2686430004,-9735855.096974999,428857883.3570369
2022-06-21T00:00:00Z,16913,6637063,2442,3132,3833,53881854.9794,253147444667.38043,2731845.7078029993,-2954849.51489,437336208.1853689
2022-06-20T00:00:00Z,19268,6620150,2527,2744,3367,84934912.007911,253093562812.40103,2084223.3684779997,-10635469.821503008,437559211.9924559
2022-06-19T00:00:00Z,19561,6600882,2508,2703,3298,106020235.700887,253008627900.39313,4866007.272074,-6438993.017199001,446110458.4454809
2022-06-18T00:00:00Z,26956,6581321,2997,3300,3954,167984433.605589,252902607664.69223,8896140.023213996,-7158620.909982999,447683444.1906059
2022-06-17T00:00:00Z,15653,6554365,2261,2411,2945,62322886.81507,252734623231.08664,3352640.5034089996,-4183791.828287001,445945925.0773749
2022-06-16T00:00:00Z,20564,6538712,2680,2861,3458,129324987.327266,252672300344.27158,5614827.980707,-9242979.380808001,446777076.40225285
2022-06-15T00:00:00Z,29916,6518148,3046,3167,3891,292519390.127522,252542975356.9443,7739887.234066997,-36768568.80692601,450405227.80235386
2022-06-14T00:00:00Z,26475,6488232,3072,3053,3832,197558258.517444,252250455966.81677,15173951.772928992,-21032790.078527,479433909.37521285
2022-06-13T00:00:00Z,39792,6461757,4071,4008,5024,322101450.246014,252052897708.29932,14737414.402915,-22167541.699734002,485292747.68081087
2022-06-12T00:00:00Z,19758,6421965,2865,2879,3614,183203706.130772,251730796258.0533,5845510.757668001,-22074926.657816,492722874.9776299
2022-06-11T00:00:00Z,15079,6402207,2777,2791,3491,103407425.623281,251547592551.92255,12978495.967529,-7838993.658934,508952290.87777793
2022-06-10T00:00:00Z,12354,6387128,2370,2581,3121,79319085.077785,251444185126.29926,3613009.0752950003,-7255700.851588998,503812788.56918293
