Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,,2894798,,,,,81439484697.34265,57041169.54,0,1210689382.1599998
2022-07-30T00:00:00Z,19535,2894798,2773,3546,4323,377574232.221328,81439484697.34265,0,-49239833.400000006,1153648212.62
2022-07-29T00:00:00Z,21915,2875263,3334,4087,4991,373959346.948417,81061910465.12132,302809.75,-45694149.880000025,1202888046.02
2022-07-28T00:00:00Z,18506,2853348,3428,4183,5147,1552704202.346591,80687951118.17291,75218255.85,-475047285.49,1248279386.15
2022-07-27T00:00:00Z,16757,2834842,3270,3900,4866,452585114.669893,79135246915.82632,2552287.9999999995,-18902631.540000007,1648108415.7900002
2022-07-26T00:00:00Z,16824,2818085,3798,4196,5274,504219173.28412,78682661801.15643,25598548.84,-5611837.14,1664458759.3300002
2022-07-25T00:00:00Z,18324,2801261,3312,3902,4830,312996184.883552,78178442627.87231,45232217.86,-2992966.5499999993,1644472047.63
2022-07-24T00:00:00Z,16432,2782937,4276,3982,5612,69983641.397405,77865446442.98877,301011.36,0,1602232796.3200002
2022-07-23T00:00:00Z,13580,2766505,2962,3419,4258,54712607.361463,77795462801.59137,1403296.9,-6384.799999999999,1601931784.9600003
2022-07-22T00:00:00Z,14212,2752925,2870,4071,4800,587698772.546273,77740750194.2299,21925475.45,-116206.99,1600534872.8600004
2022-07-21T00:00:00Z,16491,2738713,2893,3613,4405,271870677.003655,77153051421.68362,7209545.010000001,0,1578725604.4000003
2022-07-20T00:00:00Z,18408,2722222,3034,3816,4684,339889974.800319,76881180744.67996,14525407.950000001,0,1571516059.3900003
2022-07-19T00:00:00Z,20770,2703814,3212,4000,4898,449178929.182243,76541290769.87964,20863826.509999998,-3093837.0399999996,1556990651.4400003
2022-07-18T00:00:00Z,20665,2683044,3472,4345,5315,314404715.860773,76092111840.6974,17715171.14,-55639.48,1539220661.9700003
2022-07-17T00:00:00Z,12596,2662379,2325,3140,3819,281921841.195805,75777707124.83662,300366.68,-3454612.45,1521561130.3100002
2022-07-16T00:00:00Z,13476,2649783,2417,3180,3813,332068112.649987,75495785283.64082,91920.49,-381793.04,1524715376.0800002
2022-07-15T00:00:00Z,14944,2636307,2524,3197,3943,209643210.541703,75163717170.99083,0,-15223294.97,1525005248.63
2022-07-14T00:00:00Z,15158,2621363,2583,3230,3976,265505582.850707,74954073960.44913,11496.95,-5911894.54,1540228543.6000001
2022-07-13T00:00:00Z,16704,2606205,3012,3253,4356,283925672.315009,74688568377.59842,5622731.1,-1784093.4100000001,1546128941.19
2022-07-12T00:00:00Z,13735,2589501,2862,4190,5043,230758105.891747,74404642705.28342,1649891.9300000004,-4709996.720000001,1542290303.5
2022-07-11T00:00:00Z,13170,2575766,2719,3394,4200,198711014.202142,74173884599.39166,4477387.23,-303758.34,1545350408.29
2022-07-10T00:00:00Z,10486,2562596,2327,3037,3698,42617357.094023,73975173585.18951,0,0,1541176779.3999999
2022-07-09T00:00:00Z,9732,2552110,2398,2804,3622,123608886.196109,73932556228.09549,898254.57,-319518.26,1541176779.3999999
2022-07-08T00:00:00Z,17883,2542378,3945,3976,5444,145183822.342891,73808947341.89938,1734641.71,-1955145.5300000003,1540598043.09
2022-07-07T00:00:00Z,18319,2524495,3219,5143,5966,368196474.285653,73663763519.55649,23542217.080000002,-20793685.93,1540818546.9099998
2022-07-06T00:00:00Z,17451,2506176,3041,4414,5494,641385769.778919,73295567045.27083,15287509.389999999,-3939723.7300000004,1538070015.7599998
2022-07-05T00:00:00Z,16154,2488725,2832,3663,4430,438191542.150932,72654181275.49191,12522589.910000002,-395716.1599999999,1526722230.0999997
2022-07-04T00:00:00Z,16918,2472571,3109,3825,4776,416984962.037518,72215989733.34099,11478410.33,-300922.36,1514595356.3499997
2022-07-03T00:00:00Z,18615,2455653,3732,4260,5329,304755526.657389,71799004771.30347,0,-617307.12,1503417868.3799996
2022-07-02T00:00:00Z,18319,2437038,2771,3168,3971,534379310.39571,71494249244.64607,6303093.44,0,1504035175.4999995
2022-07-01T00:00:00Z,21203,2418719,3069,4131,5014,268524584.378408,70959869934.25037,43618778.589999996,-8123559.429999999,1497732082.0599995
2022-06-30T00:00:00Z,24939,2397516,3492,4989,5961,271763330.359654,70691345349.87196,9960079.77,-2135887.57,1462236862.8999994
2022-06-29T00:00:00Z,21415,2372577,2909,3493,4346,320157868.294069,70419582019.51231,16391275.6,-34207006.93,1454412670.6999993
2022-06-28T00:00:00Z,18571,2351162,2661,3145,3964,197621193.551205,70099424151.21825,4135434.4300000006,-3248176.8800000004,1472228402.0299993
2022-06-27T00:00:00Z,16754,2332591,2928,3511,4373,196981508.175422,69901802957.66704,5104418.420000001,-13867383.58,1471341144.4799993
2022-06-26T00:00:00Z,18526,2315837,3720,4399,5411,293780366.453423,69704821449.49162,10500000,0,1480104109.6399994
2022-06-25T00:00:00Z,15895,2297311,2743,3408,4203,183017085.494581,69411041083.0382,0,0,1469604109.6399994
2022-06-24T00:00:00Z,25027,2281416,4606,4887,6220,368681393.783928,69228023997.54361,18045493.32,-9965912.88,1469604109.6399994
2022-06-23T00:00:00Z,20996,2256389,3483,5097,5952,252558067.202755,68859342603.75967,11556785.759999998,-8692497.09,1461524529.1999993
2022-06-22T00:00:00Z,17963,2235393,2520,3060,3777,236736696.460994,68606784536.556915,6723822.300000001,-7480784.520000001,1458660240.5299993
2022-06-21T00:00:00Z,17683,2217430,2754,3368,4109,317334970.158321,68370047840.095924,39611667.6,-15233440.3,1459417202.7499993
2022-06-20T00:00:00Z,19408,2199747,3019,3651,4471,416976046.83809,68052712869.93761,30927953.02,-36827372.080000006,1435038975.4499993
2022-06-19T00:00:00Z,18187,2180339,2969,3391,4260,224322734.038279,67635736823.09952,1096511.94,0,1440938394.5099993
2022-06-18T00:00:00Z,23666,2162152,3704,4135,5336,306620586.942886,67411414089.06124,902772.5700000001,-1116187.28,1439841882.5699992
2022-06-17T00:00:00Z,15138,2138486,2977,3246,4325,222267134.585608,67104793502.118355,10078067.16,-9530661.61,1440055297.2799993
2022-06-16T00:00:00Z,20999,2123348,3918,3795,5447,724069776.070389,66882526367.532745,20199806.58,-24271337.19,1439507891.7299993
2022-06-15T00:00:00Z,28815,2102349,4007,4696,5718,1204980908.346422,66158456591.46236,17619993.549999997,-46369962.2,1443579422.3399992
2022-06-14T00:00:00Z,27250,2073534,3856,4332,5461,2665600155.188727,64953475683.11594,62486467.82,-62881782.529999994,1472329390.9899993
2022-06-13T00:00:00Z,40740,2046284,5348,6259,7632,2682966857.71038,62287875527.92721,28864707.279999994,-137950396.29000005,1472724705.6999993
2022-06-12T00:00:00Z,21085,2005544,3302,3922,4809,416643832.330614,59604908670.21683,9052072.379999999,0,1581810394.7099993
2022-06-11T00:00:00Z,15704,1984459,3134,3882,4690,144242386.225766,59188264837.886215,607842.48,0,1572758322.3299992
2022-06-10T00:00:00Z,13463,1968755,2710,3309,4071,361336101.465598,59044022451.660446,13584870.549999999,-8891965.7,1572150479.8499992
2022-06-09T00:00:00Z,10632,1955292,2394,2933,3673,210172061.638588,58682686350.19485,19188583.37,-7997545.130000001,1567457574.9999993
2022-06-08T00:00:00Z,12465,1944660,2578,3120,3951,283388660.703578,58472514288.55626,11182513.67,-8639389.37,1556266536.7599993
2022-06-07T00:00:00Z,16278,1932195,2921,3747,4576,682175764.716578,58189125627.852684,14225492.88,-11557792.270000005,1553723412.4599993
2022-06-06T00:00:00Z,15284,1915917,2766,3642,4440,443195647.806893,57506949863.13611,23146973.12,-20251892.6,1551055711.8499994
2022-06-05T00:00:00Z,10283,1900633,2078,2763,3320,266941131.222337,57063754215.329216,14732891.620000001,-12278045.379999999,1548160631.3299994
2022-06-04T00:00:00Z,10209,1890350,2189,2730,3340,255085014.502786,56796813084.10688,421518.77,0,1545705785.0899994
2022-06-03T00:00:00Z,12077,1880141,2662,3113,3937,860271054.389761,56541728069.604095,24504144.479999993,-10962556.22,1545284266.3199995
2022-06-02T00:00:00Z,14390,1868064,2711,3321,4146,2042210788.926461,55681457015.21433,76588217.49000001,-25847045.540000014,1531742678.0599995
2022-06-01T00:00:00Z,16509,1853674,3098,3785,4706,2029629152.074397,53639246226.28787,29912500.11,-10560398.649999999,1481001506.1099994
2022-05-31T00:00:00Z,15959,1837165,3054,3785,4651,488667885.308906,51609617074.21348,6661629.130000001,-4120724.8099999996,1461649404.6499994
2022-05-30T00:00:00Z,16196,1821206,2952,3751,4627,576478168.633307,51120949188.90457,88743729.19,-51885834.599999994,1459108500.3299994
2022-05-29T00:00:00Z,12983,1805010,2470,3235,3856,149248837.441353,50544471020.27126,0,-254001.38000000003,1422250605.7399995
2022-05-28T00:00:00Z,13828,1792027,2459,3116,3857,223735677.124762,50395222182.82991,0,-2517361.8199999984,1422504607.1199996
2022-05-27T00:00:00Z,23736,1778199,3196,4053,4910,734100574.159847,50171486505.70515,17167241.209999997,-13897134.09,1425021968.9399996
2022-05-26T00:00:00Z,21391,1754463,3363,4095,5056,1145953744.654107,49437385931.5453,18298242.52,-29673529.209999993,1421751861.8199997
2022-05-25T00:00:00Z,16377,1733072,2785,3371,4243,331387551.615201,48291432186.8912,24413888.78,-19089830.909999996,1433127148.5099998
2022-05-24T00:00:00Z,15840,1716695,3469,3539,4971,284284443.613276,47960044635.27599,21872985.68,-12171205.719999999,1427803090.6399999
2022-05-23T00:00:00Z,19712,1700855,3748,3891,5478,472404458.476361,47675760191.66272,46953280.78000001,-47663847.150000006,1418101310.6799998
2022-05-22T00:00:00Z,16554,1681143,2878,3434,4388,226722710.907906,47203355733.186356,0,-363796.49000000005,1418811877.0499997
2022-05-21T00:00:00Z,13709,1664589,2644,3046,4013,183487198.616489,46976633022.27845,1812051.31,-2455896.25,1419175673.5399997
2022-05-20T00:00:00Z,19474,1650880,3341,4013,5091,746883650.634792,46793145823.661964,63503994.379999995,-14675056.449999997,1419819518.4799998
2022-05-19T00:00:00Z,21710,1631406,3549,4089,5308,862094961.233088,46046262173.027176,66102990.51,-19879119.439999998,1370990580.5499997
2022-05-18T00:00:00Z,20308,1609696,3485,4488,5541,440164432.030501,45184167211.79409,31350447.159999996,-25548058.490000002,1324766709.4799998
2022-05-17T00:00:00Z,18942,1589388,3409,4006,5174,341911660.012062,44744002779.76359,12812505.94,-9294198.98,1318964320.8099997
2022-05-16T00:00:00Z,23601,1570446,3677,4688,5788,436208397.093093,44402091119.751526,63954738.09999999,-40526157.510000005,1315446013.8499997
2022-05-15T00:00:00Z,21103,1546845,3548,4352,5403,365854620.878021,43965882722.65843,0,-1003766.4,1292017433.2599998
2022-05-14T00:00:00Z,24246,1525742,3931,4484,5748,715708515.289961,43600028101.78041,109700578.09,-1073454.75,1293021199.6599998
2022-05-13T00:00:00Z,36770,1501496,5568,6515,8214,845596264.684091,42884319586.49045,55746919.1,-44872984.64,1184394076.32
2022-05-12T00:00:00Z,56199,1464726,7687,9251,11302,3863677187.311485,42038723321.80636,54990406.720000006,-190145633.75999996,1173520141.86
2022-05-11T00:00:00Z,52891,1408527,6639,8488,10111,1682664614.07849,38175046134.49487,19335951.380000003,-27928084.319999997,1308675368.8999999
2022-05-10T00:00:00Z,32533,1355636,5060,5711,7228,1247036407.14427,36492381520.41638,10987486.010000002,-59579121.45000002,1317267501.84
2022-05-09T00:00:00Z,26575,1323103,5017,6361,7758,1210989214.480953,35245345113.27211,62512662.73999999,-55815175.390000015,1365859137.28
2022-05-08T00:00:00Z,15348,1296528,3672,4613,5714,384361820.506412,34034355898.79116,7080808.43,-7520198.480000001,1359161649.93
2022-05-07T00:00:00Z,11274,1281180,3166,4133,4969,347849497.550896,33649994078.284748,0,0,1359601039.98
2022-05-06T00:00:00Z,13474,1269906,3527,4267,5388,524831396.129088,33302144580.733852,14330038.43,-22729441.819999997,1359601039.98
2022-05-05T00:00:00Z,14082,1256432,3616,4453,5576,326574603.504392,32777313184.604763,10857814.46,-12018665.99,1368000443.3700001
2022-05-04T00:00:00Z,16987,1242350,3918,4606,5803,518520525.00233,32450738581.100372,44156226.620000005,-43895842.220000006,1369161294.9
2022-05-03T00:00:00Z,15877,1225363,4040,5053,6188,1700290231.016277,31932218056.09804,51289901.650000006,-14659289.27,1368900910.5
2022-05-02T00:00:00Z,12890,1209486,3259,4060,5020,399299431.051078,30231927825.081764,22814520.630000003,-24139498.720000003,1332270298.12
2022-05-01T00:00:00Z,14475,1196596,3639,4434,5493,324926554.344067,29832628394.030685,0,0,1333595276.2099998
2022-04-30T00:00:00Z,12952,1182121,3344,4434,5366,289939715.795315,29507701839.68662,0,-1319437.65,1333595276.2099998
2022-04-29T00:00:00Z,14244,1169169,3720,4678,5774,585985758.398728,29217762123.891304,22382045.599999998,-20023753.88999999,1334914713.86
2022-04-28T00:00:00Z,12161,1154925,3344,4213,5181,671192559.799981,28631776365.492577,26476440.480000008,-5716669.100000001,1332556422.1499999
2022-04-27T00:00:00Z,11612,1142764,3307,4134,5132,631990918.389319,27960583805.692596,7210210.32,-5539506.810000002,1311796650.7699997
2022-04-26T00:00:00Z,12488,1131152,3453,4553,5514,745115662.422863,27328592887.303276,8714189.7,-11162945.139999997,1310125947.2599998
2022-04-25T00:00:00Z,13792,1118664,3809,4919,6026,463216539.668378,26583477224.880413,35029030.26999999,-26329521.439999998,1312574702.6999998
2022-04-24T00:00:00Z,10110,1104872,3202,3925,4966,390785728.1383,26120260685.212036,0,-2031.6,1303875193.87
2022-04-23T00:00:00Z,12044,1094762,3606,4436,5496,424979413.724061,25729474957.073734,1036545.94,-1218534.38,1303877225.4699998
