Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,,5903724,,,,,138053742293.45,62602.02325699999,-250985.875486,106282971.3080169
2022-07-30T00:00:00Z,3766,5903724,605,644,812,5881595.541398,138053742293.45,30065.148763,-65069.235687,106471355.1602459
2022-07-29T00:00:00Z,4992,5899958,662,670,904,19377372.323327,138047860697.9086,929600.8392350001,-2444227.623466,106506359.2471699
2022-07-28T00:00:00Z,4876,5894966,705,802,997,21334120.043359,138028483325.58527,808090.4400709999,-3496866.5635400005,108020986.0314009
2022-07-27T00:00:00Z,4239,5890090,611,690,873,25437665.966051,138007149205.5419,2098805.695832,-5050613.096673,110709762.1548699
2022-07-26T00:00:00Z,3981,5885851,762,663,952,15441135.973858,137981711539.57584,40265.757218999985,-880280.923663,113661569.5557109
2022-07-25T00:00:00Z,4448,5881870,777,755,1036,11555455.127728,137966270403.602,324626.078027,-727798.575002,114501584.7221549
2022-07-24T00:00:00Z,3271,5877422,597,614,799,7810182.030151,137954714948.47427,340668.62310100003,-224962.56240499998,114904757.2191299
2022-07-23T00:00:00Z,3300,5874151,608,586,799,6303818.123522,137946904766.44412,8970.198428,-153433.519132,114789051.1584339
2022-07-22T00:00:00Z,4287,5870851,689,687,905,22126065.854091,137940600948.3206,619997.318941,-500730.29346400005,114933514.4791379
2022-07-21T00:00:00Z,5347,5866564,726,802,1011,18682867.198925,137918474882.4665,614184.136603,-1454857.7436849999,114814247.45366089
2022-07-20T00:00:00Z,6652,5861217,797,794,1058,24741520.959069,137899792015.26758,94349.99053600001,-1942788.9153190004,115654921.06074288
2022-07-19T00:00:00Z,6764,5854565,722,804,1017,42380843.875994,137875050494.3085,5223281.024061001,-5807232.214912,117503359.98552589
2022-07-18T00:00:00Z,6171,5847801,766,929,1153,16735517.273015,137832669650.4325,345213.44909199997,-1277376.5005619999,118087311.1763769
2022-07-17T00:00:00Z,3912,5841630,589,646,877,13898887.91728,137815934133.1595,103756.57865,-165154.182946,119019474.22784689
2022-07-16T00:00:00Z,3965,5837718,625,722,904,22828536.41366,137802035245.24222,718242.1761319999,-1150585.510953,119080871.83214289
2022-07-15T00:00:00Z,4073,5833753,624,657,850,11115752.484831,137779206708.82855,200225.42130000002,-475900.31698,119513215.16696389
2022-07-14T00:00:00Z,4221,5829680,641,711,923,13017219.906509,137768090956.34372,518736.160184,-1994709.6943599998,119788890.06264389
2022-07-13T00:00:00Z,5070,5825459,626,654,863,14854697.774134,137755073736.43723,223864.86758,-1333686.665269,121264863.59681989
2022-07-12T00:00:00Z,3844,5820389,668,642,884,35618811.346796,137740219038.6631,238222.63098699998,-769777.7075960003,122374685.3945089
2022-07-11T00:00:00Z,3547,5816545,692,712,969,14868711.407901,137704600227.31628,199410.002874,-247372.15659900004,122906240.4711179
2022-07-10T00:00:00Z,2635,5812998,580,570,768,7450933.485962,137689731515.9084,3458.89379,-1038905.1103869999,122954202.6248429
2022-07-09T00:00:00Z,2651,5810363,620,616,810,12353096.141807,137682280582.42242,110901.76113299999,-612403.0563149999,123989648.8414399
2022-07-08T00:00:00Z,4527,5807712,708,741,973,21095421.727616,137669927486.2806,391108.35742200003,-521232.0406050001,124491150.1366219
2022-07-07T00:00:00Z,4443,5803185,710,772,1012,19073177.96996,137648832064.55298,915534.9978860001,-825474.766549,124621273.8198049
2022-07-06T00:00:00Z,5204,5798742,726,742,1007,24015581.109153,137629758886.583,106838.96318699999,-2605222.2754789996,124531213.58846791
2022-07-05T00:00:00Z,4406,5793538,723,731,970,25091333.801622,137605743305.47385,2673003.1016659997,-1614161.6756710003,127029596.9007599
2022-07-04T00:00:00Z,4096,5789132,714,783,1039,17351679.483714,137580651971.6722,814452.965771,-1695821.770868,125970755.47476491
2022-07-03T00:00:00Z,3930,5785036,707,677,952,18961080.112113,137563300292.1885,14149.869073,-1524037.0297959999,126852124.27986191
2022-07-02T00:00:00Z,3247,5781106,682,693,921,22880587.828809,137544339212.0764,859573.68017,-481992.72654199996,128362011.44058491
2022-07-01T00:00:00Z,5192,5777859,717,710,957,17764609.249218,137521458624.2476,297355.5717090001,-1584003.4797740001,127984430.48695691
2022-06-30T00:00:00Z,6320,5772667,851,811,1122,29612194.833793,137503694014.99838,215954.485796,-1735783.798273,129271078.39502192
2022-06-29T00:00:00Z,5396,5766347,818,779,1054,17160050.854834,137474081820.16458,452233.9992920001,-420010.41149299993,130790907.70749891
2022-06-28T00:00:00Z,5602,5760951,771,772,1038,75950145.503322,137456921769.30975,4368248.295076,-6521724.8354319995,130758684.11969991
2022-06-27T00:00:00Z,5409,5755349,832,873,1142,53602215.77243,137380971623.80643,538343.1028329999,-7347764.483160999,132912160.6600559
2022-06-26T00:00:00Z,5106,5749940,759,770,1023,32248515.499232,137327369408.034,1865257.1079499999,-1731928.265258,139721582.0403839
2022-06-25T00:00:00Z,5822,5744834,852,892,1172,18769111.956398,137295120892.53476,640082.1318930002,-485143.60439,139588253.19769192
2022-06-24T00:00:00Z,7537,5739012,882,989,1260,55430478.304274,137276351780.57837,421707.7501270001,-23641413.293102,139433314.6701889
2022-06-23T00:00:00Z,5973,5731475,855,849,1152,29767586.097467,137220921302.2741,3253454.45383,-667155.9814619999,162653020.2131639
2022-06-22T00:00:00Z,6051,5725502,772,772,1034,38697972.185802,137191153716.17662,20513369.950956997,-1903889.4643769995,160066721.7407959
2022-06-21T00:00:00Z,6577,5719451,903,983,1287,21066595.487961,137152455743.99081,22502.462374,-526880.910687,141457241.25421593
