Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,,673201,,,,,29686699646.36625,0,0,651000000
2022-07-30T00:00:00Z,4911,673201,939,1904,2059,471523932.353632,29686699646.36625,0,0,651000000
2022-07-29T00:00:00Z,5725,668290,1043,1960,2157,198424755.459328,29215175714.01262,0,0,651000000
2022-07-28T00:00:00Z,5370,662565,1079,1931,2143,50065340.693351,29016750958.55329,0,0,651000000
2022-07-27T00:00:00Z,5771,657195,1072,2007,2217,216818064.073513,28966685617.85994,0,0,651000000
2022-07-26T00:00:00Z,5327,651424,1128,1866,2173,245779762.037771,28749867553.786427,0,0,651000000
2022-07-25T00:00:00Z,5202,646097,1150,1983,2232,61895492.465538,28504087791.748657,0,0,651000000
2022-07-24T00:00:00Z,4634,640895,1108,1801,2041,26378662.655236,28442192299.28312,0,0,651000000
2022-07-23T00:00:00Z,4370,636261,1003,1647,1870,56747466.999722,28415813636.627884,0,0,651000000
2022-07-22T00:00:00Z,4798,631891,1120,1723,1984,182515774.544583,28359066169.628162,0,0,651000000
2022-07-21T00:00:00Z,6035,627093,1195,1865,2109,163855922.325325,28176550395.08358,0,0,651000000
2022-07-20T00:00:00Z,6499,621058,1182,1928,2161,155238135.35925,28012694472.758255,0,0,651000000
2022-07-19T00:00:00Z,6796,614559,1200,1918,2169,256783815.749674,27857456337.399006,0,0,651000000
2022-07-18T00:00:00Z,6579,607763,1269,2013,2272,101259754.33832,27600672521.64933,0,0,651000000
2022-07-17T00:00:00Z,4723,601184,1009,1599,1816,39357143.113271,27499412767.31101,0,0,651000000
2022-07-16T00:00:00Z,5303,596461,1041,1671,1853,42606317.25074,27460055624.19774,0,0,651000000
2022-07-15T00:00:00Z,7219,591158,1286,1856,2100,77103131.725158,27417449306.947,0,0,651000000
2022-07-14T00:00:00Z,5045,583939,1010,1600,1785,65830068.32438,27340346175.22184,0,0,651000000
2022-07-13T00:00:00Z,5735,578894,1109,1682,1886,171938103.12556,27274516106.89746,0,0,651000000
2022-07-12T00:00:00Z,4762,573159,967,1463,1688,229702684.632744,27102578003.7719,0,0,651000000
