Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,,62595,,,,,2582493109.3087807,6913.016547636545,-163026.4340469275,53674910.037832305
2022-07-30T00:00:00Z,1495,62595,360,375,440,1218644.1649757768,2582493109.3087807,115949.47529304854,-132045.70769421072,53831023.455331594
2022-07-29T00:00:00Z,1629,61100,436,440,519,1565441.095648991,2581274465.143805,16627.46686592478,-45402.16601181506,53847119.687732756
2022-07-28T00:00:00Z,2198,59471,454,485,553,1126962.7376755867,2579709024.0481563,10769.83142736062,-13919.110801365634,53875894.38687865
2022-07-27T00:00:00Z,2640,57273,503,497,580,2077759.2916955876,2578582061.3104806,99062.97530452374,-180480.42150946733,53879043.66625265
2022-07-26T00:00:00Z,2417,54633,439,450,530,7211690.242440248,2576504302.018785,65526.00172246197,-834721.2831099691,53960461.112457596
2022-07-25T00:00:00Z,3508,52216,492,519,585,727517.0113548726,2569292611.776345,8257.89652459163,0,54729656.3938451
2022-07-24T00:00:00Z,6009,48708,461,524,546,1780992.171771728,2568565094.76499,5448.351708017668,-15994.332255585972,54721398.49732051
2022-07-23T00:00:00Z,217,42699,59,76,89,111036.18505673313,2566784102.5932183,8050.03056852199,-4422.727735559727,54731944.47786808
2022-07-22T00:00:00Z,63,42482,27,38,45,875778.3839568276,2566673066.4081616,13527.6515593756,0,54728317.17503512
2022-07-21T00:00:00Z,75,42419,35,42,49,2055231.0655755207,2565797288.0242047,3622.238947080846,-991356.1468505108,54714789.523475744
2022-07-20T00:00:00Z,60,42344,31,41,45,917629.9792354632,2563742056.958629,17604.5844190473,-210632.37175309446,55702523.43137918
2022-07-19T00:00:00Z,31,42284,26,29,37,537729.6592526846,2562824426.9793935,70000.95412119494,-46949.22421015811,55895551.218713224
2022-07-18T00:00:00Z,91,42253,40,39,49,2817645.4023110205,2562286697.320141,171500.08723707683,-108057.99184828122,55872499.48880219
2022-07-17T00:00:00Z,85,42162,37,39,48,3312121.66427533,2559469051.91783,111073.5092896713,-144965.43393535525,55809057.393413395
2022-07-16T00:00:00Z,86,42077,38,37,49,3788588.1740172636,2556156930.253555,6662.892204158665,-387385.2825526217,55842949.31805908
2022-07-15T00:00:00Z,191,41991,29,25,36,875442.5971310545,2552368342.0795374,3556.4295723075493,-197908.58452261618,56223671.70840754
2022-07-14T00:00:00Z,111,41800,28,31,40,1435919.6585173039,2551492899.482406,24293.02597334947,-399365.26365339244,56418023.86335785
2022-07-13T00:00:00Z,74,41689,32,32,38,608115.8216848645,2550056979.823889,61998.50866198945,-16134.175961972323,56793096.10103789
2022-07-12T00:00:00Z,70,41615,34,37,48,1747772.879689004,2549448864.002204,6495.7593606095215,-423668.2854821803,56747231.768337876
2022-07-11T00:00:00Z,84,41545,35,33,42,2304799.341485796,2547701091.1225147,6472.7872857164775,-355189.4047596647,57164404.29445945
2022-07-10T00:00:00Z,93,41461,21,20,30,155904.39104098896,2545396291.7810287,10009.005081896292,-239.30630869267833,57513120.91193339
2022-07-09T00:00:00Z,68,41368,28,30,37,2067944.491373262,2545240387.389988,4243.975201484263,-302436.470699106,57503351.21316019
2022-07-08T00:00:00Z,70,41300,29,32,37,177673.78620083418,2543172442.898615,2229.5531365644065,-5055.863622153508,57801543.70865781
2022-07-07T00:00:00Z,61,41230,36,39,47,1058737.1380363202,2542994769.112414,28109.17057219592,-305629.6637578491,57804370.019143395
2022-07-06T00:00:00Z,115,41169,42,43,52,819464.004921109,2541936031.9743776,79271.97587756811,-16067.882000961607,58081890.51232905
2022-07-05T00:00:00Z,114,41054,29,31,43,90644.21699444244,2541116567.9694567,6204.12657178733,-69.28582742902242,58018686.41845244
2022-07-04T00:00:00Z,140,40940,31,30,38,1130203.9901805175,2541025923.7524624,29372.344507891645,-317048.99220147665,58012551.57770808
2022-07-03T00:00:00Z,120,40800,24,26,32,553246.177335148,2539895719.762282,28720.675575657973,-105606.54885994346,58300228.22540166
2022-07-02T00:00:00Z,81,40680,30,34,43,2283728.5177299366,2539342473.5849466,3910.348189375243,-355219.41061254573,58377114.09868595
2022-07-01T00:00:00Z,128,40599,38,39,47,1040119.5461192786,2537058745.067217,24247.655308809724,-159556.6542734707,58728423.16110912
2022-06-30T00:00:00Z,196,40471,46,53,66,2007246.075839252,2536018625.5210977,14856.805307645509,-608760.337908502,58863732.16007378
2022-06-29T00:00:00Z,172,40275,45,48,55,6764898.005466781,2534011379.4452586,3732.7284610057873,-1358439.4485142613,59457635.69267464
2022-06-28T00:00:00Z,586,40103,55,57,68,2622549.997681109,2527246481.4397917,27574.491613571576,-560059.2995359197,60812342.41272789
2022-06-27T00:00:00Z,166,39517,38,38,47,2051206.5915284867,2524623931.4421105,2514.2825270167955,-189286.43877734823,61344827.22065024
2022-06-26T00:00:00Z,85,39351,41,41,51,3852388.267013106,2522572724.850582,924255.2872152234,-264980.0764297044,61531599.37690057
2022-06-25T00:00:00Z,74,39266,44,41,49,1766318.9071197843,2518720336.583569,14107.809490343625,-673999.0968373916,60872324.16611505
2022-06-24T00:00:00Z,124,39192,42,46,54,4246817.149480868,2516954017.6764493,47035.6863846039,-518157.3058900233,61532215.4534621
2022-06-23T00:00:00Z,75,39068,38,35,48,1441901.806761653,2512707200.5269685,26549.548905448122,-90728.31184279366,62003337.07296752
2022-06-22T00:00:00Z,159,38993,44,41,49,4738161.287077407,2511265298.7202067,30132.511872460567,-1188694.143576649,62067515.83590487
2022-06-21T00:00:00Z,251,38834,66,63,74,4490549.965653606,2506527137.4331293,11789.421696165622,-93214.10225625326,63226077.467609055
2022-06-20T00:00:00Z,299,38583,69,72,80,8527065.60207237,2502036587.467476,253843.63201232863,-1864839.288687637,63307502.148169145
2022-06-19T00:00:00Z,139,38284,55,62,71,5391416.332439137,2493509521.8654037,1118191.1934987549,-275288.8541667377,64918497.804844454
